GEO_ID,NAME,T01001_001N,POPGROUP,POPGROUP_LABEL
Geography,Geographic Area Name, !!Total,Race/Ethnic Group,Population Groups
,Census Tract 13.04; Story County; Iowa,32,1260,Sudanese alone
,Census Tract 13.04; Story County; Iowa,X,1288,Other Black or African American alone
,Census Tract 13.04; Story County; Iowa,105,1290,"Other Black or African American alone, not specified"
,Census Tract 13.04; Story County; Iowa,221,1292,African American alone or in any combination
,Census Tract 13.04; Story County; Iowa,109,1293,Sub-Saharan African alone or in any combination
,Census Tract 13.04; Story County; Iowa,36,1328,Sudanese alone or in any combination
,Census Tract 13.04; Story County; Iowa,122,1356,Other Black or African American alone or in any combination
,Census Tract 13.04; Story County; Iowa,152,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 101.01; Story County; Iowa,32,1292,African American alone or in any combination
,Census Tract 101.02; Story County; Iowa,26,1259,South Sudanese alone
,Census Tract 101.02; Story County; Iowa,23,1292,African American alone or in any combination
,Census Tract 103; Story County; Iowa,37,1224,African American alone
,Census Tract 103; Story County; Iowa,44,1292,African American alone or in any combination
,Census Tract 103; Story County; Iowa,42,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 104; Story County; Iowa,33,1292,African American alone or in any combination
,Census Tract 106; Story County; Iowa,24,1290,"Other Black or African American alone, not specified"
,Census Tract 106; Story County; Iowa,26,1292,African American alone or in any combination
,Census Tract 106; Story County; Iowa,27,1358,"Other Black or African American alone or in any combination, not specified"
